order_id,created_at,client_id,manager,status_group,revenue,cost,source,city
ORD-00001,2026-05-29 20:27:40,CLIENT-0254,Алексей Кузнецов,complete,11271,6221.9,Website,Новосибирск
ORD-00002,2026-05-11 13:46:04,CLIENT-0391,Дмитрий Соколов,complete,54093,33705.72,Website,Новосибирск
ORD-00003,2026-04-26 08:51:22,CLIENT-0016,Дмитрий Соколов,complete,16399,13292.55,Google,Екатеринбург
ORD-00004,2026-07-01 03:18:21,CLIENT-0271,Алексей Кузнецов,complete,58327,43181.87,Google,Новосибирск
ORD-00005,2026-02-12 08:41:56,CLIENT-0149,Алексей Кузнецов,in_progress,31676,23895.71,Referral,Екатеринбург
ORD-00006,2026-01-20 13:32:39,CLIENT-0171,Дмитрий Соколов,in_progress,41848,20855.2,Referral,Екатеринбург
ORD-00007,2026-03-16 22:41:59,CLIENT-0301,Алексей Кузнецов,complete,27883,15930.88,,Екатеринбург
ORD-00008,2026-03-24 19:44:25,CLIENT-0207,Анна Смирнова,complete,65944,36077.7,Telegram,Казань
ORD-00009,2026-02-13 03:32:33,CLIENT-0084,Алексей Кузнецов,new,69640,34344.53,Instagram,Казань
ORD-00010,2026-02-28 16:06:30,CLIENT-0315,Алексей Кузнецов,complete,43439,31769.24,Instagram,Санкт-Петербург
ORD-00011,2026-05-20 22:53:57,CLIENT-0277,Елена Волкова,in_progress,4612,3496.86,Referral,Санкт-Петербург
ORD-00012,2026-03-21 22:28:45,CLIENT-0138,Елена Волкова,in_progress,78732,46554.99,Website,Москва
ORD-00013,2026-03-26 22:31:32,CLIENT-0106,Иван Петров,complete,70984,54015.9,Telegram,Новосибирск
ORD-00014,2026-03-31 20:25:56,CLIENT-0183,Иван Петров,complete,69154,42554.61,Telegram,Екатеринбург
ORD-00015,2026-02-14 18:29:04,CLIENT-0015,Дмитрий Соколов,complete,46402,29384.47,Referral,Санкт-Петербург
ORD-00016,2026-02-12 19:54:20,CLIENT-0131,Дмитрий Соколов,in_progress,15006,11545.25,Google,Москва
ORD-00017,2026-06-12 16:34:39,CLIENT-0057,Анна Смирнова,complete,39857,21914.32,Website,Казань
ORD-00018,2026-04-20 14:39:15,CLIENT-0087,Дмитрий Соколов,in_progress,36451,24092.37,Website,Казань
ORD-00019,2026-03-09 05:27:41,CLIENT-0198,Анна Смирнова,complete,17967,8255.01,Telegram,Казань
ORD-00020,2026-06-06 07:57:25,CLIENT-0311,Иван Петров,complete,69861,58731.82,Telegram,Санкт-Петербург
ORD-00021,2026-06-29 02:43:10,CLIENT-0260,Елена Волкова,new,24001,15079.05,Website,Санкт-Петербург
ORD-00022,2026-01-22 22:22:35,CLIENT-0203,Мария Орлова,complete,71668,50841.46,Website,Новосибирск
ORD-00023,2026-06-18 06:18:48,CLIENT-0157,Иван Петров,new,30804,24649.78,Google,Казань
ORD-00024,2026-04-18 11:25:30,CLIENT-0288,Иван Петров,complete,36077,18116.3,Referral,Екатеринбург
ORD-00025,2026-05-08 20:25:19,CLIENT-0103,Анна Смирнова,complete,69699,32407.9,Telegram,Екатеринбург
ORD-00026,2026-01-12 01:25:19,CLIENT-0341,Елена Волкова,complete,67533,33210.68,Telegram,Новосибирск
ORD-00027,2026-06-29 05:20:23,CLIENT-0010,Мария Орлова,complete,55733,45136.56,Google,Екатеринбург
ORD-00028,2026-05-30 04:50:21,CLIENT-0195,Мария Орлова,complete,37935,27304.93,Referral,Екатеринбург
ORD-00029,2026-02-28 21:47:48,CLIENT-0087,Елена Волкова,in_progress,8295,4013.72,Google,Санкт-Петербург
ORD-00030,2026-04-26 05:05:20,CLIENT-0175,Анна Смирнова,complete,36461,21776.08,Google,Екатеринбург
ORD-00031,2026-02-28 12:15:26,CLIENT-0209,Анна Смирнова,complete,16667,9638.37,Google,Санкт-Петербург
ORD-00032,2026-04-07 13:00:34,CLIENT-0282,Иван Петров,complete,52550,25258.72,Google,Казань
ORD-00033,2026-04-01 06:25:28,CLIENT-0142,Иван Петров,complete,17983,11385.18,Google,Казань
ORD-00034,2026-06-29 18:50:31,CLIENT-0021,Елена Волкова,complete,15017,9241.67,Google,Новосибирск
ORD-00035,2026-05-23 12:58:40,CLIENT-0053,Алексей Кузнецов,complete,34643,17791.88,Telegram,Екатеринбург
ORD-00036,2026-04-18 21:09:09,CLIENT-0107,Иван Петров,in_progress,65522,37726.51,Website,Москва
ORD-00037,2026-07-01 06:25:28,CLIENT-0161,Иван Петров,complete,44975,28331.45,Telegram,Казань
ORD-00038,2026-01-31 00:35:16,CLIENT-0399,Елена Волкова,new,31205,23842.31,,Новосибирск
ORD-00039,2026-01-15 04:13:48,CLIENT-0102,Иван Петров,in_progress,73988,39445.57,Google,Казань
ORD-00040,2026-06-11 00:52:39,CLIENT-0117,Мария Орлова,new,78282,55375.62,Telegram,Москва
ORD-00041,2026-04-11 10:23:01,CLIENT-0156,Иван Петров,in_progress,78891,63696.6,Google,Екатеринбург
ORD-00042,2026-01-27 20:06:18,CLIENT-0011,Алексей Кузнецов,complete,15064,8255.66,Referral,Москва
ORD-00043,2026-04-25 21:06:59,CLIENT-0006,Мария Орлова,complete,12847,5891.71,Telegram,Новосибирск
ORD-00044,2026-03-05 11:34:18,CLIENT-0341,Анна Смирнова,new,46003,22120.21,Google,Санкт-Петербург
ORD-00045,2026-04-13 06:03:28,CLIENT-0309,Анна Смирнова,new,70417,55198.17,Telegram,Санкт-Петербург
ORD-00046,2026-02-14 16:01:44,CLIENT-0383,Анна Смирнова,complete,75476,59345.83,,Санкт-Петербург
ORD-00047,2026-04-18 01:26:00,CLIENT-0342,Иван Петров,complete,9364,6891.25,Google,Новосибирск
ORD-00048,2026-03-14 21:11:13,CLIENT-0233,Мария Орлова,in_progress,60592,47899.01,Google,Санкт-Петербург
ORD-00049,2026-04-27 23:29:54,CLIENT-0010,Мария Орлова,new,57615,48426.84,Google,Екатеринбург
ORD-00050,2026-05-28 19:34:29,CLIENT-0142,Алексей Кузнецов,new,36962,31169.57,Telegram,Санкт-Петербург
ORD-00051,2026-01-28 13:56:09,CLIENT-0163,Дмитрий Соколов,in_progress,3980,2073.7,Instagram,Новосибирск
ORD-00052,2026-01-08 17:54:57,CLIENT-0352,Анна Смирнова,complete,34244,19696.94,Instagram,Новосибирск
ORD-00053,2026-04-07 20:46:53,CLIENT-0113,Иван Петров,complete,39074,32780.8,Google,Екатеринбург
ORD-00054,2026-01-19 03:45:42,CLIENT-0355,Елена Волкова,in_progress,29718,17079.55,Telegram,Казань
ORD-00055,2026-05-22 00:15:47,CLIENT-0264,Анна Смирнова,complete,19153,15487.92,Instagram,Санкт-Петербург
ORD-00056,2026-04-30 01:38:51,CLIENT-0027,Алексей Кузнецов,in_progress,77647,57290.99,Instagram,Казань
